Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident
PIPER PA 22-150,13,13,4.0,4.0,4.0,13.0,PIPER,0.3076923076923077
CESSNA TU206,13,13,7.0,7.0,3.0,20.0,CESSNA,0.5384615384615384
SIKORSKY S-76A,13,12,2.0,2.0,17.0,29.0,SIKORSKY,0.16666666666666666
CHAMPION 7GC,13,13,0.0,0.0,0.0,19.0,CHAMPION,0.0
BELLANCA 14-13-2,13,13,1.0,1.0,6.0,13.0,BELLANCA,0.07692307692307693
BEECH 33,13,13,5.0,5.0,6.0,15.0,BEECH,0.38461538461538464
CESSNA 210F,13,13,3.0,3.0,8.0,11.0,CESSNA,0.23076923076923078
CESSNA T210R,13,11,6.0,6.0,9.0,12.0,CESSNA,0.5454545454545454
GRUMMAN AA-1C,13,13,1.0,1.0,4.0,17.0,GRUMMAN,0.07692307692307693
PIPER PA46-500TP,13,13,11.0,11.0,0.0,24.0,PIPER,0.8461538461538461
CESSNA 421A,13,13,19.0,19.0,4.0,19.0,CESSNA,1.4615384615384615
AVIAT AIRCRAFT INC A-1C-180,13,13,1.0,1.0,2.0,12.0,AVIAT AIRCRAFT INC,0.07692307692307693
MAULE M7,12,12,1.0,1.0,1.0,11.0,MAULE,0.08333333333333333
CESSNA 210C,12,12,3.0,3.0,3.0,14.0,CESSNA,0.25
BELLANCA 14-19-3A,12,12,14.0,14.0,1.0,7.0,BELLANCA,1.1666666666666667
CESSNA 310F,12,12,4.0,4.0,5.0,13.0,CESSNA,0.3333333333333333
CESSNA 310G,12,12,11.0,11.0,3.0,11.0,CESSNA,0.9166666666666666
EIPPER QUICKSILVER MX,12,12,7.0,7.0,0.0,0.0,EIPPER,0.5833333333333334
PIPER PA-28-140B,12,12,0.0,0.0,10.0,13.0,PIPER,0.0
BEECH B-19,12,12,1.0,1.0,2.0,14.0,BEECH,0.08333333333333333
BEECH A45,12,12,11.0,11.0,2.0,4.0,BEECH,0.9166666666666666
CIRRUS DESIGN CORP. SR20,12,10,10.0,10.0,1.0,10.0,CIRRUS DESIGN CORP.,1.0
BEECH B100,12,11,11.0,11.0,0.0,20.0,BEECH,1.0
ERCOUPE (ENG & RESEARCH CORP.) 415-D,12,12,5.0,5.0,7.0,5.0,ERCOUPE (ENG & RESEARCH CORP.),0.4166666666666667
BEECH A60,12,11,18.0,18.0,0.0,10.0,BEECH,1.6363636363636365
HELIO H-250,12,12,2.0,2.0,2.0,25.0,HELIO,0.16666666666666666
GRUMMAN AA1B,12,12,2.0,2.0,8.0,9.0,GRUMMAN,0.16666666666666666
PIPER PA-601P,12,11,13.0,13.0,1.0,10.0,PIPER,1.1818181818181819
CESSNA A188B,12,12,1.0,1.0,0.0,11.0,CESSNA,0.08333333333333333
CESSNA 650,12,10,0.0,0.0,0.0,191.0,CESSNA,0.0
BEECH D18S,12,12,11.0,11.0,4.0,14.0,BEECH,0.9166666666666666
PIPER PA 32-300,12,12,3.0,3.0,1.0,21.0,PIPER,0.25
BEECH F-33A,12,12,7.0,7.0,7.0,9.0,BEECH,0.5833333333333334
ENSTROM 280FX,12,12,4.0,4.0,1.0,14.0,ENSTROM,0.3333333333333333
