Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident,Accident.Severity
PIPER PA-28-236,60,60,41.0,41.0,8.0,60.0,PIPER,0.6833333333333333,High
CESSNA 150E,60,60,9.0,9.0,16.0,62.0,CESSNA,0.15,Low
CESSNA 182F,60,60,21.0,21.0,17.0,79.0,CESSNA,0.35,Medium
CESSNA A185E,60,60,6.0,6.0,18.0,87.0,CESSNA,0.1,Low
CESSNA 172A,60,60,9.0,9.0,19.0,64.0,CESSNA,0.15,Low
CESSNA 182RG,59,59,12.0,12.0,8.0,103.0,CESSNA,0.2033898305084746,Medium
CHAMPION 7GCBC,59,58,10.0,10.0,8.0,63.0,CHAMPION,0.1724137931034483,Medium
PIPER PA28R,59,58,25.0,25.0,18.0,70.0,PIPER,0.43103448275862066,Medium
PIPER PA-34-220T,59,55,53.0,53.0,7.0,83.0,PIPER,0.9636363636363636,High
BEECH 58P,58,57,51.0,51.0,18.0,76.0,BEECH,0.8947368421052632,High
CESSNA 182C,58,58,19.0,19.0,14.0,63.0,CESSNA,0.3275862068965517,Medium
PIPER PA-32RT-300,58,58,53.0,53.0,18.0,76.0,PIPER,0.9137931034482759,High
PIPER PA-24,58,58,16.0,16.0,8.0,81.0,PIPER,0.27586206896551724,Medium
PIPER PA-38,58,58,10.0,10.0,8.0,68.0,PIPER,0.1724137931034483,Medium
CESSNA T210,57,56,16.0,16.0,24.0,62.0,CESSNA,0.2857142857142857,Medium
BEECH C35,57,57,34.0,34.0,21.0,44.0,BEECH,0.5964912280701754,Medium
BEECH 77,56,56,14.0,14.0,17.0,40.0,BEECH,0.25,Medium
PIPER PA32,55,54,26.0,26.0,14.0,71.0,PIPER,0.48148148148148145,Medium
BEECH A23,55,55,25.0,25.0,12.0,51.0,BEECH,0.45454545454545453,Medium
BELLANCA 7KCAB,55,55,14.0,14.0,6.0,53.0,BELLANCA,0.2545454545454545,Medium
CESSNA A185,54,54,4.0,4.0,4.0,87.0,CESSNA,0.07407407407407407,Low
CESSNA 421,54,53,52.0,52.0,6.0,69.0,CESSNA,0.9811320754716981,High
CESSNA 172I,53,53,16.0,16.0,22.0,45.0,CESSNA,0.3018867924528302,Medium
CESSNA TU206G,53,53,20.0,20.0,20.0,69.0,CESSNA,0.37735849056603776,Medium
CESSNA U206G,52,51,35.0,35.0,17.0,67.0,CESSNA,0.6862745098039216,High
BEECH B19,52,51,5.0,5.0,15.0,69.0,BEECH,0.09803921568627451,Low
CESSNA 182D,52,52,25.0,25.0,7.0,67.0,CESSNA,0.4807692307692308,Medium
CESSNA 180A,52,52,3.0,3.0,8.0,91.0,CESSNA,0.057692307692307696,Low
BEECH 36,52,52,22.0,22.0,11.0,83.0,BEECH,0.4230769230769231,Medium
DE HAVILLAND DHC-2,51,51,18.0,18.0,4.0,136.0,DE HAVILLAND,0.35294117647058826,Medium
BEECH G35,51,51,29.0,29.0,6.0,54.0,BEECH,0.5686274509803921,Medium
BEECH A-36,51,50,42.0,42.0,14.0,66.0,BEECH,0.84,High
CESSNA 340,51,50,45.0,45.0,13.0,89.0,CESSNA,0.9,High
CESSNA 182S,50,50,16.0,16.0,4.0,74.0,CESSNA,0.32,Medium
PIPER PA-18-135,50,50,14.0,14.0,12.0,48.0,PIPER,0.28,Medium
BEECH H35,50,49,27.0,27.0,8.0,57.0,BEECH,0.5510204081632653,Medium
BELL 47G,50,50,10.0,10.0,11.0,57.0,BELL,0.2,Medium
CESSNA 150D,49,49,8.0,8.0,5.0,44.0,CESSNA,0.16326530612244897,Low
CESSNA 305A,49,49,2.0,2.0,3.0,65.0,CESSNA,0.04081632653061224,Low
CHAMPION 7KCAB,49,49,19.0,19.0,13.0,52.0,CHAMPION,0.3877551020408163,Medium
BEECH K35,48,47,30.0,30.0,16.0,48.0,BEECH,0.6382978723404256,High
CIRRUS DESIGN CORP SR20,48,46,25.0,25.0,5.0,50.0,CIRRUS DESIGN CORP,0.5434782608695652,Medium
GRUMMAN AMERICAN AA-5B,48,48,33.0,33.0,13.0,41.0,GRUMMAN AMERICAN,0.6875,High
PIPER PA 18-150,48,48,8.0,8.0,6.0,55.0,PIPER,0.16666666666666666,Low
PIPER PA46,48,47,25.0,25.0,11.0,77.0,PIPER,0.5319148936170213,Medium
ROBINSON HELICOPTER R44,47,47,16.0,16.0,11.0,52.0,ROBINSON HELICOPTER,0.3404255319148936,Medium
BEECH B36TC,47,47,37.0,37.0,9.0,36.0,BEECH,0.7872340425531915,High
LUSCOMBE 8,47,47,6.0,6.0,7.0,33.0,LUSCOMBE,0.1276595744680851,Low
CESSNA U206,47,47,28.0,28.0,10.0,67.0,CESSNA,0.5957446808510638,Medium
BELLANCA 17-30,46,45,17.0,17.0,13.0,50.0,BELLANCA,0.37777777777777777,Medium
CHAMPION 7EC,46,46,12.0,12.0,9.0,43.0,CHAMPION,0.2608695652173913,Medium
PIPER J3C,46,46,10.0,10.0,11.0,38.0,PIPER,0.21739130434782608,Medium
CESSNA 172C,46,46,16.0,16.0,16.0,44.0,CESSNA,0.34782608695652173,Medium
LET L-13,44,44,2.0,2.0,8.0,54.0,LET,0.045454545454545456,Low
HUGHES 269B,44,44,9.0,9.0,22.0,44.0,HUGHES,0.20454545454545456,Medium
CESSNA 210M,43,43,34.0,34.0,14.0,36.0,CESSNA,0.7906976744186046,High
PIPER PA22,43,43,2.0,2.0,8.0,41.0,PIPER,0.046511627906976744,Low
CESSNA 182T,43,43,19.0,19.0,4.0,54.0,CESSNA,0.4418604651162791,Medium
GREAT LAKES 2T-1A-2,42,42,5.0,5.0,7.0,52.0,GREAT LAKES,0.11904761904761904,Low
PIPER PA-32-301,42,42,31.0,31.0,10.0,94.0,PIPER,0.7380952380952381,High
GRUMMAN AMERICAN AA-5A,42,42,22.0,22.0,14.0,45.0,GRUMMAN AMERICAN,0.5238095238095238,Medium
BEECH 200,41,39,61.0,61.0,2.0,124.0,BEECH,1.564102564102564,High
MOONEY M20,41,41,9.0,9.0,6.0,46.0,MOONEY,0.21951219512195122,Medium
