Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate
BOEING,757,84.37288135593221,1.2203389830508475,0.7457627118644068,0.7457627118644068,22,59,7.186440677966102,158.10169491525426,16.406779661016948,0.3728813559322034,0.008563643441027636,0.9914363565589723
BOEING,737-500,84.16666666666667,2.1666666666666665,8.5,8.5,6,12,70.16666666666667,421.0,51.0,0.5,0.08225806451612903,0.917741935483871
EMBRAER,EMB110,84.0,0.0,12.0,12.0,1,2,96.0,96.0,12.0,0.5,0.1111111111111111,0.8888888888888888
BOMBARDIER INC,CL600-2D24,84.0,0.5,0.0,0.0,1,2,0.5,0.5,0.0,0.5,0.0,1.0
BOEING,737 832,84.0,0.5,0.0,0.0,2,2,0.5,1.0,0.0,1.0,0.0,1.0
AIRBUS INDUSTRIE,A320,83.55555555555556,0.4444444444444444,25.555555555555557,25.555555555555557,3,9,204.88888888888889,614.6666666666666,76.66666666666667,0.3333333333333333,0.18914473684210525,0.8108552631578947
BOEING,737-277,83.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC-9-82(MD-82),83.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-20,83.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC-9-83,82.5,2.25,0.0,0.0,3,8,2.25,6.75,0.0,0.375,0.0,1.0
DOUGLAS,DC-8,81.25,0.75,0.0,0.0,1,4,0.75,0.75,0.0,0.25,0.0,1.0
MCDONNELL DOUGLAS,MD-82,80.42857142857143,7.25,1.2857142857142858,1.2857142857142858,12,28,17.535714285714285,210.42857142857142,15.42857142857143,0.42857142857142855,0.01424614166996439,0.9857538583300356
MCDONNELL DOUGLAS,DC 9-32,80.0,10.0,0.0,0.0,1,1,10.0,10.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC10,80.0,0.5,0.0,0.0,2,2,0.5,1.0,0.0,1.0,0.0,1.0
EMBRAER,ERJ 170-200 LR,80.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOMBARDIER,CL600 2D24 - 900,80.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
AIRBUS,A320-214,79.75,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.25,0.0,1.0
BOMBARDIER,CL600 2D24,79.4,0.0,0.0,0.0,2,5,0.0,0.0,0.0,0.4,0.0,1.0
BOEING,737-300,79.31372549019608,2.1372549019607843,3.2745098039215685,3.2745098039215685,29,51,28.333333333333332,821.6666666666666,94.96078431372548,0.5686274509803921,0.037210338680926915,0.9627896613190731
MCDONNELL DOUGLAS,DC-9-51,78.94117647058823,2.9411764705882355,0.23529411764705882,0.23529411764705882,7,17,4.823529411764706,33.76470588235294,1.6470588235294117,0.4117647058823529,0.0028571428571428576,0.9971428571428571
AIRBUS INDUSTRIE,A320-233,78.66666666666667,0.0,67.33333333333333,67.33333333333333,2,3,538.6666666666666,1077.3333333333333,134.66666666666666,0.6666666666666666,0.315625,0.684375
BOEING,MD-82,78.125,2.25,50.375,50.375,5,8,405.25,2026.25,251.875,0.625,0.2781228433402346,0.7218771566597654
FOKKER,F28 MK4000,78.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,767 36N,77.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,737-291,76.625,8.625,3.125,3.125,4,8,33.625,134.5,12.5,0.5,0.03415300546448088,0.9658469945355191
EMBRAER,ERJ 170-10,76.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
BOEING,B737-400,75.71428571428571,0.0,3.2857142857142856,3.2857142857142856,4,7,26.285714285714285,105.14285714285714,13.142857142857142,0.5714285714285714,0.03993055555555555,0.9600694444444444
AIRBUS INDUSTRIE,A310,75.5,8.0,0.0,0.0,2,4,8.0,16.0,0.0,0.5,0.0,1.0
EMBRAER S.A.,ERJ 170-200 LR,75.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
DORNIER,DO-228-202,74.5,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
AIRBUS INDUSTRIE,A320-212,74.5,0.5,0.0,0.0,2,2,0.5,1.0,0.0,1.0,0.0,1.0
EMBRAER,ERJ-170,74.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC-9-50,74.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
MCDONNELL DOUGLAS,DC-9-41,74.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC-8-71,74.0,1.0,0.0,0.0,1,3,1.0,1.0,0.0,0.3333333333333333,0.0,1.0
FOKKER,F28 MK 0100,73.0,0.0,0.0,0.0,4,6,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
EMBRAER,ERJ175,72.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
DOUGLAS,DC-10-30F,71.66666666666667,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
PIPER,PA-42-720,71.5,0.0,0.25,0.25,3,4,2.0,6.0,0.75,0.75,0.003472222222222222,0.9965277777777778
BOMBARDIER INC,CL600 2D24,70.2,0.2,0.0,0.0,2,5,0.2,0.4,0.0,0.4,0.0,1.0
AIRBUS INDUSTRIE,A-340-200,70.0,2.0,0.0,0.0,1,1,2.0,2.0,0.0,1.0,0.0,1.0
LOCKHEED,L1011,69.5,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
BOEING,737-222,69.33333333333333,3.2,5.2,5.2,7,15,44.8,313.59999999999997,36.4,0.4666666666666667,0.06270096463022508,0.9372990353697749
MCDONNELL DOUGLAS,DC-9-30,69.2,1.0,0.0,0.0,1,5,1.0,1.0,0.0,0.2,0.0,1.0
BRITISH AIRCRAFT CORP. (BAC),BAC 1-11,68.0,2.0,0.0,0.0,1,1,2.0,2.0,0.0,1.0,0.0,1.0
BOEING,747-230,68.0,1.5,0.0,0.0,1,2,1.5,1.5,0.0,0.5,0.0,1.0
BOEING,717-200,67.8,1.25,0.0,0.0,10,20,1.25,12.5,0.0,0.5,0.0,1.0
BOEING,767-200ER,67.75,0.0,73.75,73.75,4,4,590.0,2360.0,295.0,1.0,0.3426248548199768,0.6573751451800232
"BOMBARDIER, INC.",CL-600-2C10,67.75,0.0,0.0,0.0,4,4,0.0,0.0,0.0,1.0,0.0,1.0
AIRBUS,A321,67.45,0.1,19.05,19.05,8,20,152.5,1220.0,152.4,0.4,0.18031235210601043,0.8196876478939896
BOEING,737-2B7,67.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC-9-31,66.82352941176471,2.235294117647059,6.411764705882353,6.411764705882353,11,17,53.529411764705884,588.8235294117648,70.52941176470588,0.6470588235294118,0.07830459770114942,0.9216954022988506
BOEING,737-724,66.2,0.8,0.0,0.0,5,5,0.8,4.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC-9-87,65.5,0.0,0.0,0.0,2,2,0.0,0.0,0.0,1.0,0.0,1.0
FOKKER,F-100,65.33333333333333,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
EMBRAER,ERJ 170 100 SE,65.33333333333333,1.0,0.0,0.0,3,3,1.0,3.0,0.0,1.0,0.0,1.0
DOUGLAS,DC-9-31,65.05555555555556,0.8333333333333334,3.3333333333333335,3.3333333333333335,9,18,27.5,247.5,30.0,0.5,0.045941807044410414,0.9540581929555896
EMBRAER,E175,65.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
BOEING,727-2M7,65.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
DOUGLAS,DC-9,65.0,4.333333333333333,0.0,0.0,2,3,4.333333333333333,8.666666666666666,0.0,0.6666666666666666,0.0,1.0
BOEING,737-201,64.42857142857143,1.2857142857142858,0.0,0.0,4,7,1.2857142857142858,5.142857142857143,0.0,0.5714285714285714,0.0,1.0
BOEING,727-31,63.0,1.75,0.0,0.0,2,4,1.75,3.5,0.0,0.5,0.0,1.0
BOEING,737-800,62.696969696969695,0.12121212121212122,4.666666666666667,4.666666666666667,11,33,37.45454545454545,412.0,51.333333333333336,0.3333333333333333,0.06467870642587148,0.9353212935741285
MCDONNELL DOUGLAS,MD80 - 80,62.5,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.25,0.0,1.0
BOEING,737-204,61.5,5.0,23.5,23.5,2,2,193.0,386.0,47.0,1.0,0.20704845814977973,0.7929515418502202
BOEING,737-301,61.5,0.0,0.0,0.0,2,2,0.0,0.0,0.0,1.0,0.0,1.0
AEROSPATIALE,ATR72-212,61.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
FOKKER,F27-500,60.666666666666664,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
NORTHROP,T-38A,60.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2,3,11.0,22.0,2.6666666666666665,0.6666666666666666,0.02116402116402116,0.9788359788359788
FOKKER,F28,59.5,0.0,0.0,0.0,2,4,0.0,0.0,0.0,0.5,0.0,1.0
DOUGLAS,DC-9-32,59.375,2.6875,8.375,8.375,9,16,69.6875,627.1875,75.375,0.5625,0.10626486915146709,0.893735130848533
BOEING,747,59.2,0.11764705882352941,0.07058823529411765,0.07058823529411765,20,85,0.6823529411764706,13.647058823529413,1.4117647058823528,0.23529411764705882,0.0011871784724970318,0.998812821527503
BOEING,737-300LR,59.0,0.0,1.0,1.0,1,1,8.0,8.0,1.0,1.0,0.01639344262295082,0.9836065573770492
BOEING,777-200ER,58.5,25.0,1.5,1.5,1,2,37.0,37.0,1.5,0.5,0.017341040462427744,0.9826589595375722
